continent,region,country,year,criminality,criminal_markets,human_trafficking,human_smuggling,arms_trafficking,flora_crimes,fauna_crimes,non_renewable_resource_crimes,heroin_trade,cocaine_trade,cannabis_trade,synthetic_drug_trade,criminal_actors,mafia_groups,criminal_networks,state_embedded_actors,foreign_actors,resilience,political_leadership_governance,government_transparency_accountability,international_cooperation,national_policies_laws,judicial_system_detention,law_enforcement,territorial_integrity,anti_money_laundering,economic_regulatory_capacity,victim_witness_support,prevention,non_state_actors,criminality_avg,criminal_markets_avg,cyber_dependent_crimes,financial_crimes,counterfeit_goods_trade,illicit_trade_excisable_goods,extortion_protection_racketeering,criminal_actors_avg,private_sector_actors,resilience_avg
Africa,East Africa,Kenya,2023,,,8.0,7.5,7.5,6.0,7.0,7.0,7.5,6.0,6.5,5.5,,7.0,8.0,8.0,6.5,,5.0,5.0,7.5,7.0,5.0,4.5,6.0,6.0,5.5,3.0,3.0,6.5,7.02,6.93,8.0,7.5,7.0,6.0,7.0,7.1,6.0,5.33
Europe,Central & Eastern Europe,Bulgaria,2023,,,5.0,5.5,4.5,6.0,4.5,5.0,6.0,4.5,5.5,6.5,,5.0,7.0,7.5,5.0,,5.0,6.0,6.0,6.0,5.0,5.0,6.0,5.5,5.0,5.0,5.0,4.5,5.65,5.4,6.0,7.0,5.0,5.0,5.0,5.9,5.0,5.33
Americas,Caribbean & Central,Trinidad and Tobago,2023,,,6.5,4.5,7.0,1.0,2.5,2.0,2.5,8.0,7.0,4.0,,6.0,6.5,5.0,6.5,,5.0,5.0,6.5,7.0,3.5,5.5,4.5,6.5,4.0,5.5,5.0,6.0,5.2,4.8,6.0,6.5,4.5,5.0,5.0,5.6,4.0,5.33
Oceania,Micronesia,Palau,2023,,,3.5,2.5,1.5,1.0,7.0,1.5,2.0,3.0,2.5,4.0,,1.0,4.0,2.0,4.0,,7.0,6.0,7.5,5.5,5.0,5.5,4.5,5.0,4.5,2.5,5.5,5.5,2.7,2.9,2.5,2.5,4.5,4.0,1.5,2.5,1.5,5.33
Americas,Caribbean & Central,Cuba,2023,,,5.5,5.5,1.5,3.5,3.0,4.0,2.5,4.0,5.0,3.0,,3.0,2.5,3.5,2.0,,6.5,2.5,6.5,6.0,3.0,7.0,8.0,5.5,5.5,4.0,7.0,3.0,3.37,3.63,3.0,3.5,5.5,3.0,2.0,3.1,4.5,5.38
Americas,Caribbean & Central,"St, Vincent and the Grenadines",2023,,,2.5,1.0,4.0,1.0,2.0,1.0,1.0,7.5,7.5,1.0,,2.0,5.0,2.0,5.5,,6.0,6.0,6.0,6.5,6.0,4.0,6.0,5.5,4.0,3.0,5.5,6.0,3.08,2.67,3.0,2.5,2.0,3.0,1.0,3.5,3.0,5.38
Americas,Caribbean & Central,Jamaica,2023,,,5.0,3.0,9.0,1.5,2.0,1.0,3.0,6.5,8.5,3.0,,8.0,8.0,8.0,7.0,,4.5,5.0,7.0,5.5,3.5,6.0,6.5,4.5,4.5,5.0,6.5,6.5,5.8,4.9,4.5,7.0,6.5,7.0,6.0,6.7,2.5,5.42
Asia,Southern Asia,India,2023,,,8.0,6.5,6.0,6.0,7.0,7.0,7.0,3.5,7.5,7.0,,3.5,6.5,6.0,3.0,,4.0,5.0,8.5,5.0,4.5,5.0,8.0,6.5,5.0,4.0,5.0,4.5,5.75,6.7,7.5,7.0,7.5,6.0,7.0,4.8,5.0,5.42
Asia,Western Asia,Qatar,2023,,,8.0,6.5,6.5,4.0,6.5,5.0,4.5,4.5,6.5,7.0,,1.0,6.0,6.5,6.0,,5.0,5.5,6.0,5.0,5.0,5.0,7.0,5.5,6.0,5.5,6.0,3.5,5.45,5.7,7.0,7.5,6.0,4.0,2.0,5.2,6.5,5.42
Asia,Western Asia,Bahrain,2023,,,8.0,5.5,5.0,3.5,6.0,6.5,5.0,4.0,5.5,7.0,,1.5,6.0,4.0,5.0,,6.0,4.5,7.0,5.5,4.5,4.5,6.5,5.5,6.0,5.5,5.5,4.0,4.95,5.4,7.0,7.0,5.5,4.0,1.5,4.5,6.0,5.42
Oceania,Melanesia,Fiji,2023,,,5.0,4.0,2.0,3.5,4.5,2.5,2.5,5.0,6.0,7.0,,1.0,5.0,3.0,5.5,,5.5,5.0,5.5,6.0,4.0,5.0,5.0,6.0,6.0,6.0,5.5,5.5,4.15,4.3,4.0,5.5,5.0,4.5,3.5,4.0,5.5,5.42
Africa,West Africa,Ghana,2023,,,7.0,5.5,6.0,7.0,6.5,7.5,6.0,6.5,6.0,7.0,,3.0,6.5,7.5,6.5,,6.0,5.5,6.5,5.0,5.0,4.5,6.0,6.0,6.5,3.5,4.0,7.0,5.8,6.0,6.0,6.0,5.0,4.5,3.5,5.6,4.5,5.46
Africa,Southern Africa,Botswana,2023,,,4.5,3.5,4.0,2.5,7.5,3.5,3.5,3.5,4.5,4.0,,1.0,5.5,4.0,5.5,,5.0,4.0,8.5,7.0,6.0,5.0,5.0,5.0,6.0,4.5,4.5,5.0,4.35,4.4,5.0,5.5,5.0,5.5,4.0,4.3,5.5,5.46
Americas,Caribbean & Central,Bahamas,2023,,,5.0,5.5,5.5,1.5,4.5,2.0,4.0,7.5,4.5,3.0,,4.0,3.0,3.0,6.0,,6.0,5.5,6.5,6.5,3.5,6.5,5.0,5.0,4.0,7.0,5.5,5.0,3.75,3.6,2.5,3.5,2.0,1.5,1.5,3.9,3.5,5.5
Asia,Western Asia,Kuwait,2023,,,8.0,6.5,6.0,5.5,6.0,6.0,5.0,4.5,6.5,7.0,,1.0,6.0,6.0,4.0,,5.0,4.5,6.0,5.5,5.5,6.0,5.5,5.5,6.5,5.5,5.5,5.5,5.2,5.7,6.5,7.0,6.0,3.0,2.0,4.7,6.5,5.54
Africa,Southern Africa,Mauritius,2023,,,4.5,3.5,2.5,3.5,3.0,4.0,8.0,3.5,5.5,8.0,,2.0,6.5,6.0,4.5,,6.0,6.0,6.5,6.0,5.5,5.5,5.5,4.0,7.0,4.0,5.0,5.5,4.37,4.13,4.0,4.5,4.0,2.0,1.5,4.6,4.0,5.54
Africa,Central Africa,Rwanda,2023,,,5.0,2.5,5.0,2.5,4.0,8.5,3.0,2.5,4.0,1.5,,1.0,3.0,5.0,4.0,,5.5,4.5,5.0,6.0,5.0,7.0,6.5,6.0,6.5,5.5,5.5,3.5,3.6,4.0,4.5,6.0,6.0,4.0,1.0,3.2,3.0,5.54
Asia,Western Asia,Jordan,2023,,,6.0,5.5,6.5,3.5,3.5,2.0,3.5,3.0,6.0,7.0,,1.5,7.0,6.0,4.5,,5.5,4.5,8.0,6.0,4.5,6.5,6.0,6.5,4.0,4.5,6.5,4.5,4.93,4.87,5.5,6.5,5.5,5.0,4.0,5.0,6.0,5.58
Americas,Caribbean & Central,"St, Lucia",2023,,,4.0,1.5,5.0,2.0,1.0,1.0,1.0,7.5,7.0,1.0,,5.0,4.0,5.0,6.0,,7.5,6.5,6.5,6.5,6.0,4.5,5.5,4.0,5.0,5.0,6.0,4.0,3.53,2.67,2.0,2.5,2.0,1.5,1.0,4.4,2.0,5.58
Americas,South America,Colombia,2023,,,8.0,7.5,8.0,7.0,7.0,9.0,5.0,9.5,7.0,6.0,,9.5,9.5,7.5,7.5,,6.0,5.5,9.0,6.5,5.5,5.0,4.5,6.0,5.0,3.5,4.5,6.5,7.75,7.3,7.0,8.0,7.5,4.5,8.5,8.2,7.0,5.63
Africa,Southern Africa,South Africa,2023,,,4.5,5.0,8.0,5.0,8.0,8.0,7.5,7.0,5.0,8.5,,7.5,8.0,8.0,7.5,,5.5,5.5,6.0,7.0,6.0,4.5,6.0,5.5,6.0,4.0,4.5,7.0,7.18,6.87,7.0,7.5,7.0,7.0,8.0,7.5,6.5,5.63
Americas,Caribbean & Central,Costa Rica,2023,,,5.0,6.0,5.0,5.0,6.0,7.0,1.0,7.5,4.5,3.5,,7.0,6.0,2.5,7.0,,7.0,6.5,6.5,6.5,6.0,5.0,5.0,4.0,4.5,5.0,5.0,6.5,5.53,5.37,7.0,5.5,5.5,6.0,6.0,5.7,6.0,5.63
Europe,Southern Europe,Monaco,2023,,,2.0,1.0,1.5,1.0,1.0,1.5,2.0,2.0,2.5,2.0,,1.0,3.0,3.5,5.5,,3.5,4.5,5.5,6.5,8.0,7.0,6.0,5.5,4.0,8.0,5.0,4.0,2.58,1.67,3.0,2.5,1.0,1.0,1.0,3.5,4.5,5.63
Asia,Eastern Asia,China,2023,,,7.0,6.5,3.0,8.5,9.0,5.0,6.5,3.5,4.5,8.0,,6.5,7.5,7.0,3.0,,6.0,4.0,6.0,7.5,5.0,6.0,7.5,6.5,7.5,4.0,6.0,2.0,6.37,6.53,8.5,7.5,9.5,6.0,5.0,6.2,7.0,5.67
Asia,Central Asia and the Caucasus,Armenia,2023,,,3.0,1.5,2.0,3.5,4.0,2.5,4.5,1.5,3.5,4.0,,2.5,3.0,3.0,3.0,,7.0,6.0,7.0,6.5,4.5,6.5,3.0,6.0,6.0,5.0,4.5,6.5,2.82,2.93,2.5,3.0,3.5,3.5,1.5,2.7,2.0,5.71
Africa,West Africa,Nigeria,2023,,,7.5,6.0,8.5,6.0,7.0,8.0,6.0,7.0,8.0,8.5,,5.5,8.5,7.5,7.5,,5.5,5.0,7.5,7.5,5.0,5.0,5.0,5.0,6.5,5.0,5.5,7.0,7.28,7.37,8.0,7.0,8.0,7.0,8.0,7.2,7.0,5.79
Africa,West Africa,Senegal,2023,,,5.5,5.0,5.0,7.5,7.0,4.5,3.0,7.0,7.0,3.0,,3.0,6.0,5.0,6.5,,5.5,5.0,7.0,6.5,5.0,6.0,7.0,5.0,5.5,5.0,5.0,7.0,5.52,5.53,5.0,5.5,7.5,6.0,4.5,5.5,7.0,5.79
