continent,region,country,year,criminality,criminal_markets,human_trafficking,human_smuggling,arms_trafficking,flora_crimes,fauna_crimes,non_renewable_resource_crimes,heroin_trade,cocaine_trade,cannabis_trade,synthetic_drug_trade,criminal_actors,mafia_groups,criminal_networks,state_embedded_actors,foreign_actors,resilience,political_leadership_governance,government_transparency_accountability,international_cooperation,national_policies_laws,judicial_system_detention,law_enforcement,territorial_integrity,anti_money_laundering,economic_regulatory_capacity,victim_witness_support,prevention,non_state_actors,criminality_avg,criminal_markets_avg,cyber_dependent_crimes,financial_crimes,counterfeit_goods_trade,illicit_trade_excisable_goods,extortion_protection_racketeering,criminal_actors_avg,private_sector_actors,resilience_avg
Americas,South America,Uruguay,2023,,,3.0,4.0,3.0,1.0,3.5,1.0,2.0,6.0,4.0,3.5,,2.5,4.5,3.0,2.5,,7.5,9.0,9.0,7.0,6.0,7.0,7.0,6.5,8.0,7.5,7.0,8.5,3.22,3.33,4.0,4.0,3.5,3.5,4.0,3.1,3.0,7.5
Europe,Western Europe,Luxembourg,2023,,,3.5,2.0,2.0,1.5,1.5,1.5,3.0,3.5,2.5,3.5,,1.0,2.0,2.0,5.0,,8.0,6.5,9.0,8.0,7.5,7.0,8.0,5.5,7.0,7.5,8.0,8.0,2.85,2.9,4.5,6.5,3.5,2.5,2.0,2.8,4.0,7.5
Europe,Western Europe,United Kingdom,2023,,,7.0,6.0,4.5,3.0,4.0,2.5,4.5,7.0,5.5,6.0,,4.5,7.0,3.5,7.5,,7.5,6.5,7.5,8.0,8.0,7.5,8.5,6.5,7.5,7.0,7.5,8.5,5.75,5.5,6.5,7.5,6.5,6.0,6.0,6.0,7.5,7.54
Europe,Northern Europe,Latvia,2023,,,5.0,4.5,3.5,1.5,2.0,2.0,4.5,5.5,5.5,5.5,,4.0,3.5,2.0,4.5,,7.0,6.5,8.5,8.5,8.0,8.0,8.5,6.0,8.0,7.5,7.5,7.0,3.9,4.5,6.0,6.5,6.0,6.0,3.5,3.3,2.5,7.58
Asia,South-Eastern Asia,Singapore,2023,,,5.5,2.5,2.5,2.5,4.5,2.5,4.5,3.0,3.5,5.5,,3.0,4.0,1.5,4.0,,7.5,7.5,9.0,8.5,9.0,9.0,8.0,7.5,8.0,7.0,9.0,4.0,3.47,3.93,6.5,6.0,5.0,3.0,2.0,3.0,2.5,7.83
Europe,Northern Europe,Estonia,2023,,,4.5,3.5,2.0,2.0,2.0,3.5,3.0,4.0,6.0,7.0,,3.5,4.5,2.0,5.5,,8.0,7.5,8.5,8.0,8.0,7.5,8.0,8.0,7.5,7.5,8.0,8.0,4.25,4.2,7.0,7.0,4.0,5.0,2.5,4.3,6.0,7.88
Oceania,Australia and New Zealand,New Zealand,2023,,,3.5,3.5,3.0,2.0,4.0,1.5,2.5,4.5,5.0,6.0,,4.0,5.5,2.0,4.5,,8.0,8.0,8.5,8.0,7.5,7.5,8.5,6.5,8.0,8.0,7.5,8.5,4.08,3.77,6.0,7.0,2.0,2.0,4.0,4.4,6.0,7.88
Europe,Northern Europe,Norway,2023,,,5.0,3.5,4.0,2.0,4.0,3.0,5.0,5.0,4.5,4.5,,4.5,4.5,1.5,4.5,,8.0,8.5,9.0,8.5,8.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,3.75,4.1,5.5,5.0,2.5,5.0,3.0,3.4,2.0,7.92
Europe,Western Europe,Andorra,2023,,,2.5,3.0,2.5,1.0,1.0,3.0,2.0,3.5,4.5,1.5,,1.0,4.0,1.5,6.0,,7.0,7.5,8.5,8.5,8.0,8.5,7.5,7.0,8.0,8.5,8.5,8.0,3.22,2.73,2.0,6.5,2.0,5.0,1.0,3.7,6.0,7.96
Asia,Eastern Asia,"Korea, Rep,",2023,,,5.5,4.0,2.5,3.5,4.0,2.0,3.5,3.5,3.0,5.0,,5.5,5.0,4.5,6.5,,9.0,8.0,8.5,9.0,9.0,8.0,7.5,8.0,7.0,7.0,8.0,8.0,4.43,3.57,3.5,4.0,3.5,3.0,3.0,5.3,5.0,8.08
Europe,Northern Europe,Denmark,2023,,,4.0,5.0,5.0,2.0,2.0,2.0,4.5,6.0,6.0,5.0,,5.5,4.5,2.0,5.0,,9.0,9.0,8.0,9.0,7.5,7.5,8.0,6.0,8.5,7.5,8.5,9.0,4.02,4.33,6.5,4.5,4.0,4.0,4.5,3.7,1.5,8.13
Europe,Northern Europe,Iceland,2023,,,4.5,3.5,2.0,1.0,1.5,1.0,1.5,5.0,4.5,4.5,,4.5,5.0,1.5,5.0,,8.0,7.5,8.5,8.5,8.5,9.0,8.5,8.0,8.5,7.5,7.5,8.5,3.37,2.93,5.0,5.0,3.0,1.0,1.0,3.8,3.0,8.21
Europe,Western Europe,Liechtenstein,2023,,,2.0,1.5,2.0,1.5,1.5,1.5,2.0,3.0,3.5,2.0,,1.0,1.5,1.5,3.0,,9.0,8.0,7.5,9.0,9.0,8.5,9.5,5.0,8.5,9.5,9.5,8.5,2.27,2.33,4.0,6.5,1.0,1.0,2.0,2.2,4.0,8.46
Europe,Northern Europe,Finland,2023,,,3.5,3.0,3.0,1.5,2.0,2.0,3.5,4.0,4.0,5.0,,3.0,3.0,1.5,3.0,,9.0,9.0,9.0,8.5,8.0,8.5,9.0,8.5,9.0,8.0,8.5,8.5,2.98,3.27,5.0,4.0,3.0,3.0,2.5,2.7,3.0,8.63
